job,ref_id,solid_index,category,designation,issue,note
# Manual ground-truth overrides for the ML feature dataset.
# One row per (job, ref_id, solid_index). Fields:
#   job          - sidecar stem WITHOUT the hex prefix, e.g. "10296 CIV-009"
#   ref_id       - XCAF ref_id of the prototype, e.g. "0:1:1:7"
#   solid_index  - 0 for single-solid parts; 0..n for multi-solid parts
#   category     - routing/steel class. Gallery labels use:
#                  SECTION (incl. straight RHS/SHS/CHS/UB/UC/PFC/EA),
#                  PLATE, FORMED_PLATE, BENT_SECTION (in-house bent tube/section),
#                  BOUGHT_OUT, EXCLUDE  (or a specific designation for sections)
#   issue        - 1 if this part is a known-bad / mis-detected case, else blank
#   note         - free-text reason / context
# Lines beginning with '#' and blank lines are ignored by the exporter.
# --- 2026-06-09: broadened gallery review (~290 parts across 40 jobs, all classes).
"10284 LATEST FRAME + SUPP PLATES",0:1:1:146,0,FORMED_PLATE,,1,gallery: formed plate
"10284 LATEST FRAME + SUPP PLATES",0:1:1:114,0,SECTION,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:70,0,SECTION,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:67,0,SECTION,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:59,0,SECTION,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:24,0,SECTION,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:119,0,SECTION,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:144,0,PLATE,,,gallery
"10284 LATEST FRAME + SUPP PLATES",0:1:1:3,0,PLATE,,,gallery
"10296 CIV-006 ASS",0:1:1:43,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-006 ASS",0:1:1:7,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-006 ASS",0:1:1:31,0,SECTION,,,gallery
"10296 CIV-006 ASS",0:1:1:17,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-006 ASS",0:1:1:25,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-006 ASS",0:1:1:27,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-006 ASS",0:1:1:8,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-006 ASS",0:1:1:32,0,PLATE,,,gallery
"10296 CIV-006 ASS",0:1:1:9,0,PLATE,,,gallery
"10296 CIV-009",0:1:1:9,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-009",0:1:1:8,0,FORMED_PLATE,,1,gallery: formed plate
"10296 CIV-009",0:1:1:14,0,SECTION,,,gallery
"10296 CIV-009",0:1:1:4,0,SECTION,,,gallery
"10296 CIV-009",0:1:1:11,0,SECTION,,,gallery
"10296 CIV-009",0:1:1:7,0,PLATE,,,gallery
"10296 CIV-009",0:1:1:2,0,PLATE,,,gallery
"10296 CIV-009",0:1:1:12,0,PLATE,,,gallery
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:22,0,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:24,0,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:47,4,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:47,5,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:47,3,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:34,6,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:47,1,BENT_SECTION,,1,gallery: bent section
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:469,0,BOUGHT_OUT,,,gallery
"2025 12-15 C25001-PSS-INTERNALS",0:1:1:472,0,BOUGHT_OUT,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:567,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:389,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:518,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:411,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:664,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:690,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:663,0,SECTION,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:143,0,PLATE,,,gallery
"3D SERVICE STAIR FROM +41.950 to +48.430",0:1:1:140,0,PLATE,,,gallery
"C25001-1-0101 Rev A",0:1:1:6,20,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:7,20,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:8,10,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:10,10,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:12,19,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:13,19,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:11,19,SECTION,,,gallery
"C25001-1-0101 Rev A",0:1:1:8,0,PLATE,,,gallery
"C25001-1-0101 Rev A",0:1:1:3,0,PLATE,,,gallery
"C25001-MIN INTERNALS",0:1:1:11,0,SECTION,,,gallery
"C25001-MIN INTERNALS",0:1:1:12,0,SECTION,,,gallery
"C25001-MIN INTERNALS",0:1:1:15,2,SECTION,,,gallery
"C25001-MIN INTERNALS",0:1:1:6,2,SECTION,,,gallery
"C25001-MIN INTERNALS",0:1:1:2,5,SECTION,,,gallery
"C25001-MIN INTERNALS",0:1:1:3,2,SECTION,,,gallery
"C25001-MIN INTERNALS",0:1:1:5,5,SECTION,,,gallery
